issue_number,dates,page_number,type_of_page,original_volumes,notes,start_issue,end_issue,link,htid,original_source,record_url,periodical_name,publication_type,id,metadata_schema_version,enumeration_chronology,type_of_resource,title,date_created,pub_date,language,access_profile,isbn,issn,lccn,oclc,page_count,feature_schema_version,access_rights,alternate_title,category,genre_ld,genre,contributor_ld,contributor,handle_url,source_institution_ld,source_institution,lcc,type,is_part_of,last_rights_update_date,pub_place_ld,pub_place,main_entity_of_page,publisher_ld,publisher,lowercase_periodical_name,publication_directory,volume_directory
84.0,January 29 1962,153,toc,1962 Jan-Jun,,1962-01-29,1962-01-29,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
85.0,February 5 1962,187,cover_page,1962 Jan-Jun,,1962-02-05,1962-02-05,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
85.0,February 5 1962,189,toc,1962 Jan-Jun,,1962-02-05,1962-02-05,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
86.0,February 12 1962,223,cover_page,1962 Jan-Jun,,1962-02-12,1962-02-12,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
86.0,February 12 1962,225,toc,1962 Jan-Jun,,1962-02-12,1962-02-12,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
87.0,February 19 1962,259,cover_page,1962 Jan-Jun,,1962-02-19,1962-02-19,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
87.0,February 19 1962,261,toc,1962 Jan-Jun,,1962-02-19,1962-02-19,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
88.0,February 26 1962,295,cover_page,1962 Jan-Jun,,1962-02-26,1962-02-26,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
88.0,February 26 1962,297,toc,1962 Jan-Jun,,1962-02-26,1962-02-26,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
89.0,March 5 1962,331,cover_page,1962 Jan-Jun,,1962-03-05,1962-03-05,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
89.0,March 5 1962,333,toc,1962 Jan-Jun,,1962-03-05,1962-03-05,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
90.0,March 12 1962,367,cover_page,1962 Jan-Jun,,1962-03-12,1962-03-12,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
90.0,March 12 1962,369,toc,1962 Jan-Jun,,1962-03-12,1962-03-12,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
91.0,March 19 1962,403,cover_page,1962 Jan-Jun,,1962-03-19,1962-03-19,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
91.0,March 19 1962,405,toc,1962 Jan-Jun,,1962-03-19,1962-03-19,https://hdl.handle.net/2027/mdp.39015056038071,mdp.39015056038071,"
                       University of Michigan
                      ",https://catalog.hathitrust.org/Record/000679918,Arab Observer and The Scribe,News/politics magazines,mdp.39015056038071,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,1962 Jan-Jun,http://id.loc.gov/ontologies/bibframe/Text,Arab observer.,20200209.0,1962.0,eng,google,,,ne 64000529,4927825.0,948.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Periodicals,"['http://id.loc.gov/vocabulary/marcgt/doc', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']","['document (computer)', 'urn:uuid:dde6e056-0a8c-488f-9909-82d90383c265']",,,http://hdl.handle.net/2027/mdp.39015056038071,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'MIU'}",MIU,AP9.A68,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4927825', 'type': 'CreativeWorkSeries', 'journalTitle': 'Arab observer.'}",20170107.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000679918820599-1', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4927825.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4927825.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/National%20Publications%20House', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'National Publications House'}",National Publications House,arab_observer_and_the_scribe,datasets/ht_ef_datasets/arab_observer_and_the_scribe/volumes,mdp_39015056038071
